Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.065744341564924,0.045216580467112,0.0494910882181169,0,0,0,0.207046380810351,0.000296100160478881,-2.96509727065676E-09,4.1481005406492E-07,0.000510587496763238,-2.58760118911616E-11,0.000248571256331813,0,0,0,0,0,0,package://Fridge-bot/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Fridge-bot/meshes/base_link.STL,,NEMA17-1;BASE-1;BASE TURNING GEAR-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Turning_link,-0.0267697026327348,0.00488148698796461,0.0222183347728628,0,0,0,0.19237125582213,0.000135901413995399,-1.33820761853295E-06,2.84315818360693E-06,0.000156555561267971,2.6996128156746E-06,0.000197919660234674,0,0,0,0,0,0,package://Fridge-bot/meshes/Turning_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Fridge-bot/meshes/Turning_link.STL,,ARM TURNING BASE-1;NEMA17-3,Origin_J1,Axis12,J1,revolute,0.06605,0.032302,0.014542,1.5708,-0.0040186,0,base_link,0,0,-1,0,0,0,6.28,,,,,,,,
Lower_backlink,0.0414635494994407,6.93889390390723E-18,0.00499999999999996,0,0,0,0.0193744467859455,8.00416835228504E-07,-3.3881317890172E-21,4.52614911442815E-21,1.54913654040111E-05,1.88996064051875E-22,1.59688747928072E-05,0,0,0,0,0,0,package://Fridge-bot/meshes/Lower_backlink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Fridge-bot/meshes/Lower_backlink.STL,,split PARALLEL LINKAGE-1,Origin_J12,Axis10,J2,continuous,-0.0225,-0.022855,0.065355,-1.5708,-1.0628,1.5708,Turning_link,0,0,-1,,,,,,,,,,,,
Link1,-2.35922392732846E-16,-0.0999111796922045,-0.00999999999999946,0,0,0,0.0855737940510451,0.000328606447348668,-8.20986684126231E-19,-4.72153637505962E-22,3.53584860057504E-06,-2.15784962745792E-16,0.000330716066048393,0,0,0,0,0,0,package://Fridge-bot/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Fridge-bot/meshes/Link1.STL,,UPPER ARM DRIVEN-2;UPPER ARM DRIVEN-1,Origin_J3,Axis11,J3,revolute,-0.0275,0.0125,0.03,-1.5708,0.49038,1.5708,Turning_link,0,0,-1,0,0,0,6.28,,,,,,,,
Triangle,0.0128671162531902,0.0149668569116932,0.005,0,0,0,0.0191246861766036,5.62289539865078E-06,2.73395813990835E-06,-5.92896539083225E-22,4.65318566936927E-06,5.42998781656638E-22,9.95733629840999E-06,0,0,0,0,0,0,package://Fridge-bot/meshes/Triangle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Fridge-bot/meshes/Triangle.STL,,ELBOW-1,Origin_J4,Axis8,J4,continuous,0,-0.2,-0.015,0,0,3.0193,Link1,0,0,1,,,,,,,,,,,,
Upper_backlink,0.0414635494994406,5.55111512312578E-16,0.00499999999999998,0,0,0,0.0193744467859455,8.00416835228507E-07,1.07467305182889E-20,9.79827535050522E-22,1.54913654040111E-05,-2.98745253902473E-22,1.59688747928072E-05,0,0,0,0,0,0,package://Fridge-bot/meshes/Upper_backlink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Fridge-bot/meshes/Upper_backlink.STL,,split PARALLEL LINKAGE-2,Origin_J5,Axis9,J5,continuous,0.045,0,0.02,3.1416,0,-1.4308,Triangle,0,0,-1,,,,,,,,,,,,
Upper_frontLink,0.0463904561233811,-6.45872244575685E-14,7.9956874454723E-14,0,0,0,0.0214124502395769,8.8417413172566E-07,-2.26226618343863E-17,3.03411185861136E-17,2.08029877158262E-05,-6.48649465622115E-23,2.13302876768923E-05,0,0,0,0,0,0,package://Fridge-bot/meshes/Upper_frontLink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Fridge-bot/meshes/Upper_frontLink.STL,,Split UPPER ARM DRIVEN-2,Origin_J6,Axis7,J6,continuous,0,0.05,-0.005,3.1416,0,-2.48,Triangle,0,0,-1,,,,,,,,,,,,
Link2,2.77555756156289E-17,-0.0863342210093204,0.0247054628952012,0,0,0,0.0953394410565643,0.000470411650298866,5.4315987742682E-19,1.51753137276197E-21,3.95014826174653E-06,-3.09405752680569E-16,0.000472772807876337,0,0,0,0,0,0,package://Fridge-bot/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Fridge-bot/meshes/Link2.STL,,UPPER ARM DRIVEN-5;FORARM DRIVE LINK-1,Origin_J7,Axis8,J7,revolute,0,-0.2,0.01,3.1416,0,-1.0177,Link1,0,0,-1,0,0,0,6.28,,,,,,,,
Back_gripper,-0.0250028133017936,0.0239301160957177,0.00141734074678103,0,0,0,1.53802958602338,0.000909413538569685,8.26533997142431E-05,-2.76680034671548E-05,0.000912566548096114,-4.94357740447193E-05,0.00115501581802408,0,0,0,0,0,0,package://Fridge-bot/meshes/Back_gripper.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://Fridge-bot/meshes/Back_gripper.STL,,backhalf gripper-2/gripper arm connection-1,Origin_J8,Axis5,J8,continuous,0,-0.2,0.022327,3.1416,0,2.5048,Link2,0,0,1,,,,,,,,,,,,
front_halfgripper,-0.000216464748702024,0.0283235783013315,0.0142900639859031,0,0,0,0.558596679661737,0.000309404274315498,-3.91459968046766E-05,3.65468624887361E-06,0.000256279098899188,8.07700601429671E-06,0.00046459335100017,0,0,0,0,0,0,package://Fridge-bot/meshes/front_halfgripper.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://Fridge-bot/meshes/front_halfgripper.STL,,backhalf gripper-2/2ndhalf with gripper-1,Origin_J9,Axis1,J9,revolute,-0.054,0.0035,-8.2845E-05,1.5708,1.5515,-3.1416,Back_gripper,0,0.00012782,1,0,0,0,6.28,,,,,,,,
gripper,0.0309607104904638,-4.59355418679364E-05,0.017144407490665,0,0,0,0.0686737389522782,6.40644623542164E-06,-1.58915253493507E-10,3.10523081266725E-06,2.87092893917181E-05,3.68993537350604E-11,2.25895985442529E-05,0,0,0,0,0,0,package://Fridge-bot/meshes/gripper.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://Fridge-bot/meshes/gripper.STL,,backhalf gripper-2/other half gripper-1,Origin_J10,Axis4,J10,revolute,0.012523,0.027447,-0.004,0,0,1.7772,front_halfgripper,-0.0001246,2.8609E-05,-1,0,0,0,6.28,,,,,,,,
Lower_frontlink,0.0463904561233882,-6.10067552031524E-14,7.99707522425308E-14,0,0,0,0.0214124502395769,8.84174131725665E-07,-2.26162561477226E-17,3.03388488913352E-17,2.08029877158262E-05,8.13942229557454E-23,2.13302876768922E-05,0,0,0,0,0,0,package://Fridge-bot/meshes/Lower_frontlink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Fridge-bot/meshes/Lower_frontlink.STL,,Split UPPER ARM DRIVEN-1,Origin_J11,Axis6,J11,continuous,-0.015,0.05,-0.0074928,-3.1416,0,0.92013,Back_gripper,0,0,-1,,,,,,,,,,,,